LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id,BeginP,EndP,SepPont,BeginCh,EndCh,Init,SepV,void,TypeInt,TypeFloat,TypeBool,TyperChar,BeginC,EndC,ConstInt,ConstFloat,ConstBool,ConstChar,ConstString,In,SepPV,Out,InsSIf,Return,OpAtr,OpLogAnd,OpLogOr,OpLogNot,OpArAd,OpArMult,OpArdiv,OpArMod,OpArExp,OpReD,OpReI,InsInWh,InsInfor,IntTo,$,S,INICIAL,LIST_FUNC,FUNC,MAIN_FUNC,PARAMITER_LIST,PARAMITER,TYPE_FUNC,TYPE,VECTOR_TYPE,CONST_TYPE,COMANDS_LIST,COMAND,RETURN,RETURN_TYPE,VAR_DECLARATION,DECLARATION_LIST,DECLARATION_TYPE,ATTRIBUTION,LIST_OPERATION_LG,OPERATION_RL,OPERATION_AR,ATRIBVALUE,OP_LG,OP_AR,OP_RE,FUNC_CALL,LI,LOOP
0,,s6,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s8,,,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r4,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,s13,,,,,,,s17,s18,s19,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,15,16,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,s17,s18,s19,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,,15,16,,,,,,,,,,,,,,,,,,,
11,r3,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,s22,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,r9,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,s25,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
